Log_ID,Data_Hora,Pet_ID,Nome_Pet,Especie,Categoria_Exercicio,Nome_Exercicio,Duracao_Segundos,Duracao_Minutos,Nota_Desempenho_1a5,XP_Ganho,Petcoins_Ganhas,Observacoes_Comportamentais
"log_01,""2026-09-07T16:58:00.000Z"",""pet_thor_01"",""Thor"",""Cão"",""obediencia"",""Comando """"Senta"""" com Marcador Verbal"",120,2,5,35,20,""Excelente foco e resposta imediata ao marcador."""
"log_02,""2026-09-08T09:30:00.000Z"",""pet_thor_01"",""Thor"",""Cão"",""obediencia"",""Andar Junto sem Puxar na Guia"",300,5,4,45,25,""Houve 2 distrações com outros cães, mas redirecionou bem com petisco."""
"log_03,""2026-09-07T14:15:00.000Z"",""pet_luna_02"",""Luna"",""Cão"",""ansiedade_separacao"",""Protocolo de Partidas Falsas (3 minutos sozinho)"",180,3,4,50,30,""Ficou calma com tapete de lamber congelado. Sem uivos durante o teste."""
"log_04,""2026-09-08T11:00:00.000Z"",""pet_luna_02"",""Luna"",""Cão"",""sinais_calma"",""Desensibilização do Toque de Campainha"",240,4,3,30,15,""Latil no primeiro toque com volume baixo, mas relaxou na 4ª repetição."""
"log_05,""2026-09-06T17:00:00.000Z"",""pet_bob_03"",""Bob"",""Cão"",""posse_recursos"",""Comando """"Solta"""" com Troca Justa de Petisco"",300,5,5,50,25,""Soltou a bolinha imediatamente ao ver o pedaço de peito de frango."""
"log_06,""2026-09-08T08:15:00.000Z"",""pet_bob_03"",""Bob"",""Cão"",""obediencia"",""Foco Visual nos Olhos (Contato Visual)"",150,2.5,4,40,20,""Manteve contato visual por 8 segundos antes de receber o click."""
"log_07,""2026-09-07T10:20:00.000Z"",""pet_mel_04"",""Mel"",""Cão"",""sinais_calma"",""Controle de Impulso - Não Pular nas Visitas"",200,3.3,5,45,25,""Sentou com as 4 patas no chão antes da visita fazer carinho."""
"log_08,""2026-09-06T19:40:00.000Z"",""pet_simba_05"",""Simba"",""Gato"",""enriquecimento"",""Target com Vareta e Toque no Focinho"",90,1.5,5,40,20,""Tocou o focinho na ponta da haste 6 vezes seguidas. Muito motivado por sachê."""
"log_09,""2026-09-05T15:30:00.000Z"",""pet_zeus_06"",""Zeus"",""Cão"",""obediencia"",""Comando """"Fica"""" com Distração de Movimento"",360,6,4,55,30,""Permaneceu deitado enquanto o tutor andou 10 passos para trás."""
"log_10,""2026-09-07T08:00:00.000Z"",""pet_nina_07"",""Nina"",""Cão"",""enriquecimento"",""Diferenciação de Brinquedos por Nome"",450,7.5,5,60,35,""Acertou buscar o """"Frisbee"""" vs a """"Bolinha"""" com 100% de acerto em 10 testes."""
"log_11,""2026-09-06T11:45:00.000Z"",""pet_chico_08"",""Chico"",""Cão"",""sanitaria"",""Reforço de Urina no Tapete Higiênico"",120,2,5,35,20,""Fez xixi exatamente no centro do tapete e recebeu clicker + petisco de fígado."""
"log_12,""2026-09-07T20:10:00.000Z"",""pet_maya_09"",""Maya"",""Gato"",""saude"",""Entrada Voluntária na Caixa de Transporte"",150,2.5,4,45,25,""Entrou espontaneamente para comer o petisco úmido. Ficou 1 minuto dentro com porta aberta."""
"log_13,""2026-09-07T12:00:00.000Z"",""pet_toby_10"",""Toby"",""Cão"",""enriquecimento"",""Desafio do Tapete de Lamber Antiestresse"",300,5,5,35,15,""Comeu a porção de ração úmida em 12 minutos no tapete, sem engasgar."""
"log_14,""2026-09-08T10:30:00.000Z"",""pet_billy_11"",""Billy"",""Cão"",""sinais_calma"",""Redirecionamento de Latido com Brinquedo de Corda"",180,3,4,45,20,""Bicicleta passou no portão, tutor chamou e Billy mordeu a corda em vez de latir."""
"log_15,""2026-09-06T16:20:00.000Z"",""pet_cacau_12"",""Cacau"",""Cão"",""obediencia"",""Comando """"Deita"""" com Duração de 30 Segundos"",210,3.5,5,40,20,""Excelente relaxamento postural no tapete."""
"log_16,""2026-09-07T17:30:00.000Z"",""pet_fred_14"",""Fred"",""Cão"",""enriquecimento"",""Busca Olfativa de Petiscos Escondidos na Sala"",360,6,5,50,30,""Encontrou os 6 pontos de petiscos usando faro. Ficou muito tranquilo pós-treino."""
"log_17,""2026-09-08T13:40:00.000Z"",""pet_apollo_15"",""Apollo"",""Cão"",""obediencia"",""Caminhada com Mudança Súbita de Direção (Anti-puxão)"",420,7,4,55,25,""Caminhada suave na guia de 2 metros com peitoral anti-puxão."""
"log_18,""2026-09-08T14:10:00.000Z"",""pet_amora_13"",""Amora"",""Gato"",""sinais_calma"",""Aproximação com Reforço Positivo na Presença de Amigo"",180,3,4,45,25,""Ficou no mesmo cômodo a 2 metros da visita sem se assustar, comendo Churu."""
