Pet_ID,Nome_Pet,Especie,Porte,Raca,Sexo,Castrado,Peso_Kg,Nivel_Energia,Tempo_Sozinho,Tipo_Alimentacao,Marca_Alimento,Plano_Saude,Restricoes_Saude,Desafios_Comportamentais,Local_Necessidades,Nivel_App,XP_Acumulado,Streak_Dias
"pet_thor_01","Thor","Cão","Grande","Golden Retriever","Macho","Sim",31.5,"Alto","Medio","Ração Seca","Premier Raças Grandes","Sim","Nenhuma","Puxar muito na guia no passeio; Pular nas visitas para pedir atenção","Grama no passeio e tapete higiênico",3,480,7
"pet_luna_02","Luna","Cão","Pequeno","Shih-tzu","Fêmea","Sim",6.2,"Moderado","Muito","Alimentação Natural","Cozinha Natural Pet","Não","Alergia/Dermatite","Ansiedade por separação (uivos ao ficar só); Latidos excessivos na campainha","Tapete higiênico lavável",4,620,12
"pet_bob_03","Bob","Cão","Grande","Pastor Alemão","Macho","Não",34,"Alto","Pouco","Ração Seca","Royal Canin German Shepherd","Sim","Nenhuma","Reatividade com outros cães na guia; Guarda de recursos com brinquedos","Pátio gramado externo",2,350,4
"pet_mel_04","Mel","Cão","Médio","SRD (Vira-lata Caramelo)","Fêmea","Sim",14.5,"Moderado","Medio","Mista","Equilíbrio Super Premium + Legumes","Já possui","Nenhuma","Medo intenso de fogos e trovões; Pula nas visitas","Passeio diário 3x ao dia",5,840,18
"pet_simba_05","Simba","Gato","Pequeno","SRD Laranja","Macho","Sim",4.8,"Alto","Medio","Ração Úmida","Farmina N&D Quinoa Urinary","Não","Nenhuma","Arranhar o sofá; Agitação noturna e miados de madrugada","Caixa de areia fechada com sílica",2,290,3
"pet_zeus_06","Zeus","Cão","Gigante","Rottweiler","Macho","Sim",44,"Moderado","Pouco","Ração Seca","PremieR Formula Raças Grandes","Sim","Coluna/Articular","Guarda excessiva do portão; Dificuldade em soltar brinquedos","Jardim dos fundos",3,510,8
"pet_nina_07","Nina","Cão","Médio","Border Collie","Fêmea","Sim",18.2,"Alto","Pouco","Alimentação Natural","Dieta Balanceada Nutricionista","Sim","Nenhuma","Pastoreio obsessivo de carros e crianças; Necessidade extrema de estímulo mental","Passeio matinal e noturno",6,980,25
"pet_chico_08","Chico","Cão","Pequeno","Dachshund (Teckel)","Macho","Sim",8.1,"Moderado","Medio","Ração Seca","Hill's Science Diet Pedaços Pequenos","Não","Coluna/Articular","Latidos excessivos para qualquer barulho no corredor; Resistência ao corte de unhas","Tapete higiênico na lavanderia",3,410,6
"pet_maya_09","Maya","Gato","Pequeno","Siamês","Fêmea","Sim",3.9,"Moderado","Muito","Mista","Royal Canin Siamese + Sachê","Sim","Nenhuma","Miar excessivamente pedindo atenção; Rejeição à escovação de pelos","Caixa de areia aberta com areia biodegradável",2,320,5
"pet_toby_10","Toby","Cão","Pequeno","Pug","Macho","Sim",9.8,"Muito Baixo","Pouco","Ração Seca","Royal Canin Pug Adulto","Sim","Sobrepeso","Comer rápido demais (engasgos); Teimosia para andar na coleira","Tapete higiênico lavável",2,260,3
"pet_billy_11","Billy","Cão","Pequeno","Jack Russell Terrier","Macho","Não",7.2,"Alto","Medio","Ração Seca","Guabi Natural Pequeno Porte","Não","Nenhuma","Cavar o quintal e vasos de plantas; Latir para skate e bicicletas","Passeios e quintal",5,750,15
"pet_cacau_12","Cacau","Cão","Grande","Labrador Retriever","Fêmea","Sim",32,"Alto","Medio","Ração Seca","Farmina N&D Ancestral Grain","Sim","Sobrepeso","Roubar comida da mesa; Puxar guia para cumprimentar pessoas","Grama e terra no quintal",4,590,9
"pet_amora_13","Amora","Gato","Pequeno","Gato Preto (SRD)","Fêmea","Sim",3.7,"Moderado","Pouco","Ração Seca","Biofresh Gatos Castrados","Não","Nenhuma","Medo de visitas e se esconder embaixo da cama; Pavor de caixa de transporte","Caixa de areia fechada",2,380,5
"pet_fred_14","Fred","Cão","Médio","Beagle","Macho","Sim",13.8,"Alto","Medio","Ração Seca","Royal Canin Beagle","Não","Nenhuma","Farejar obsessivamente e ignorar comandos na rua; Uivar na ausência do tutor","Grama nos passeios",3,440,6
"pet_apollo_15","Apollo","Cão","Grande","Pitbull (American Bully)","Macho","Sim",29.5,"Alto","Pouco","Alimentação Natural","Dieta Crua com Ossos Biologicamente Apropriada","Sim","Alergia/Dermatite","Muita força ao puxar na guia; Excesso de excitação com pessoas conhecidas","Gramado do jardim",4,670,11
